"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU263"	"Fungi"	"Glomeromycota"	"Paraglomeromycetes"	"Paraglomerales"	"Paraglomeraceae"	"Paraglomus"	"Paraglomus_laccatum"
"OTU264"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Cantharellales"	"Ceratobasidiaceae"	NA	NA
"OTU265"	NA	NA	NA	NA	NA	NA	NA
"OTU266"	"Fungi"	"Basidiomycota"	"Malasseziomycetes"	"Malasseziales"	"Malasseziaceae"	"Malassezia"	"Malassezia_globosa"
"OTU267"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	"Glomus_indicum"
"OTU268"	NA	NA	NA	NA	NA	NA	NA
"OTU269"	NA	NA	NA	NA	NA	NA	NA
"OTU270"	NA	NA	NA	NA	NA	NA	NA
"OTU271"	NA	NA	NA	NA	NA	NA	NA
"OTU272"	"Fungi"	"Basidiomycota"	"Malasseziomycetes"	"Malasseziales"	"Malasseziaceae"	"Malassezia"	"Malassezia_globosa"
"OTU273"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Phaeosphaeriaceae"	"Phaeosphaeria"	NA
"OTU274"	NA	NA	NA	NA	NA	NA	NA
